Rank,Name,Net Worth,Age,Country,Source,Industry
623.0,"Rupert Johnson, Jr.",$4.3 B,81.0,United States,money management,Finance & Investments
624.0,Vikram Lal & family,$4.3 B,80.0,India,motorcycles,Automotive
625.0,Lam Wai-ying,$4.3 B,,Hong Kong,smartphone screens,Manufacturing
626.0,Pyotr Aven,$4.3 B,67.0,Russia,"oil, banking, telecom",Finance & Investments
627.0,Chris Larsen,$4.3 B,61.0,United States,cryptocurrency,Finance & Investments
628.0,Joesley Batista,$4.3 B,50.0,Brazil,beef processing,Food & Beverage
629.0,Richard Schulze,$4.3 B,81.0,United States,Best Buy,Fashion & Retail
630.0,Wesley Batista,$4.3 B,49.0,Brazil,beef packing,Food & Beverage
631.0,Paul Singer,$4.3 B,77.0,United States,hedge funds,Finance & Investments
632.0,Margot Birmingham Perot,$4.3 B,88.0,United States,"computer services, real estate",Technology
633.0,Barry Sternlicht,$4.3 B,61.0,United States,private equity,Finance & Investments
634.0,Rick Caruso,$4.3 B,63.0,United States,real estate,Real Estate
635.0,Su Hua,$4.3 B,40.0,China,video streaming,Media & Entertainment
636.0,Jim Davis,$4.3 B,62.0,United States,staffing & recruiting,Service
637.0,Mark Walter,$4.3 B,61.0,United States,finance,Finance & Investments
638.0,Walter P.J. Droege,$4.3 B,69.0,Germany,investing,Finance & Investments
639.0,Ty Warner,$4.3 B,77.0,United States,"plush toys, real estate",Real Estate
640.0,Dan Friedkin,$4.3 B,57.0,United States,Toyota dealerships,Automotive
641.0,Antti Herlin,$4.3 B,65.0,Finland,"elevators, escalators",Manufacturing
642.0,W. Herbert Hunt,$4.3 B,93.0,United States,oil,Energy
643.0,Daniel D'Aniello,$4.2 B,75.0,United States,private equity,Finance & Investments
644.0,Jon Stryker,$4.2 B,63.0,United States,medical equipment,Healthcare
645.0,Traudl Engelhorn & family,$4.2 B,95.0,Germany,"pharmaceuticals, medical equipment",Healthcare
646.0,Vincent Viola,$4.2 B,66.0,United States,electronic trading,Finance & Investments
647.0,Piero Ferrari,$4.2 B,76.0,Italy,automobiles,Automotive
648.0,Romesh T. Wadhwani,$4.2 B,74.0,United States,software,Technology
649.0,Carlo Fidani,$4.2 B,67.0,Canada,real estate,Real Estate
650.0,Yakir Gabay,$4.2 B,55.0,Cyprus,real estate,Real Estate
651.0,Jaime Gilinski Bacal,$4.2 B,64.0,Colombia,banking,Finance & Investments
652.0,Bertil Hult,$4.2 B,81.0,Sweden,education,Service
653.0,Martha Ingram & family,$4.2 B,86.0,United States,"book distribution, transportation",Media & Entertainment
654.0,Lee Yin Yee,$4.2 B,70.0,China,glass,Manufacturing
655.0,Daniel Loeb,$4.2 B,60.0,United States,hedge funds,Finance & Investments
656.0,Janice McNair,$4.2 B,85.0,United States,"energy, sports",Sports
657.0,Rinat Akhmetov,$4.2 B,55.0,Ukraine,"steel, coal",Metals & Mining
658.0,Ajay Piramal,$4.2 B,66.0,India,pharmaceuticals,Healthcare
659.0,Bernard Broermann,$4.2 B,78.0,Germany,hospitals,Healthcare
660.0,Peter Spuhler,$4.2 B,62.0,Switzerland,train cars,Manufacturing
661.0,Chung Mong-Koo,$4.2 B,84.0,South Korea,Hyundai,Automotive
662.0,Kerry Stokes,$4.2 B,81.0,Australia,"construction equipment, media",Diversified
663.0,Augusto & Giorgio Perfetti,$4.1 B,,Italy,candy,Food & Beverage
664.0,Thomas Secunda,$4.1 B,67.0,United States,Bloomberg LP,Media & Entertainment
665.0,Shaul Shani,$4.1 B,67.0,Israel,telecom,Telecom
666.0,Juan Domingo Beckmann Legorreta & family,$4.1 B,54.0,Mexico,tequila,Food & Beverage
667.0,E. Joe Shoen,$4.1 B,72.0,United States,U-Haul,Automotive
668.0,Rafael Del Pino,$4.1 B,63.0,Spain,construction,Construction & Engineering
669.0,Steven Udvar-Hazy,$4.1 B,76.0,United States,aircraft leasing,Service
670.0,Sergey Dmitriev,$4.1 B,56.0,Cyprus,software,Technology
671.0,Russ Weiner,$4.1 B,51.0,United States,energy drinks,Food & Beverage
672.0,Senapathy Gopalakrishnan,$4.1 B,67.0,India,software services,Technology
673.0,Guanjiang Wu & family,$4.1 B,53.0,China,pharmaceuticals,Healthcare
674.0,James Irving,$4.1 B,94.0,Canada,diversified,Diversified
675.0,Lee Boo-jin,$4.1 B,51.0,South Korea,Samsung,Service
676.0,Samuel Tak Lee,$4.1 B,82.0,Hong Kong,real estate,Real Estate
677.0,Thai Lee,$4.1 B,63.0,United States,IT provider,Technology
678.0,Eric Lefkofsky,$4.1 B,52.0,United States,"Groupon, investments",Technology
679.0,Ermirio Pereira de Moraes & family,$4.1 B,89.0,Brazil,diversified,Diversified
680.0,Maria Helena Moraes Scripilliti & family,$4.1 B,91.0,Brazil,diversified,Diversified
681.0,Wolfgang Herz,$4 B,71.0,Germany,coffee,Fashion & Retail
682.0,Juan Roig,$4 B,72.0,Spain,supermarkets,Fashion & Retail
683.0,Arthur Irving,$4 B,92.0,Canada,oil,Energy
684.0,David Rubenstein,$4 B,72.0,United States,private equity,Finance & Investments
685.0,Victor Jacobsson,$4 B,40.0,Sweden,fintech,Finance & Investments
686.0,Howard Schultz,$4 B,68.0,United States,Starbucks,Food & Beverage
687.0,Marc Ladreit de Lacharriere,$4 B,81.0,France,finance,Finance & Investments
688.0,Alex Shevchenko,$4 B,42.0,Canada,software,Technology
689.0,Patrick Lee,$4 B,80.0,Hong Kong,paper,Manufacturing
690.0,Dan Snyder,$4 B,57.0,United States,Washington Football Team,Sports
691.0,Max Lytvyn,$4 B,42.0,Canada,software,Technology
692.0,Jerzy Starak,$4 B,74.0,Poland,pharmaceuticals,Healthcare
693.0,Gilles Martin,$4 B,58.0,France,laboratory services,Healthcare
694.0,Udo & Harald Tschira,$4 B,,Germany,software,Technology
695.0,Anil Agarwal & family,$4 B,68.0,India,"mining, metals",Metals & Mining
696.0,Ramzi Musallam,$4 B,53.0,United States,private equity,Finance & Investments
697.0,Kelcy Warren,$4 B,66.0,United States,pipelines,Energy
698.0,Somphote Ahunai,$4 B,54.0,Thailand,renewable energy,Energy
699.0,Georg Nemetschek & family,$4 B,88.0,Germany,software,Technology
700.0,Herbert Wertheim,$4 B,82.0,United States,investments,Finance & Investments
701.0,Patrizio Bertelli,$4 B,76.0,Italy,luxury goods,Fashion & Retail
702.0,Akio Nitori,$4 B,78.0,Japan,home furnishings,Fashion & Retail
703.0,Cameron Winklevoss,$4 B,40.0,United States,cryptocurrency,Finance & Investments
704.0,Rakesh Gangwal,$4 B,68.0,United States,airline,Service
705.0,Daniel Och,$4 B,61.0,United States,hedge funds,Finance & Investments
706.0,Tyler Winklevoss,$4 B,40.0,United States,cryptocurrency,Finance & Investments
707.0,Paul Gauselmann & family,$4 B,87.0,Germany,gambling,Gambling & Casinos
708.0,Pankaj Patel,$4 B,69.0,India,pharmaceuticals,Healthcare
709.0,Denise York & family,$4 B,71.0,United States,San Francisco 49ers,Sports
710.0,He Xiaopeng,$4 B,44.0,China,electric vehicles,Automotive
711.0,Miuccia Prada,$4 B,72.0,Italy,luxury goods,Fashion & Retail
712.0,Michael Herz,$4 B,78.0,Germany,coffee,Fashion & Retail
713.0,Jean (Gigi) Pritzker,$4 B,59.0,United States,"hotels, investments",Service
714.0,Marcos Galperin,$3.9 B,,Argentina,e-commerce,Technology
715.0,Li Xiang,$3.9 B,40.0,China,electric vehicles,Automotive
716.0,"Stephen Mandel, Jr.",$3.9 B,66.0,United States,hedge funds,Finance & Investments
717.0,Gabe Newell,$3.9 B,59.0,United States,videogames,Gambling & Casinos
718.0,Maja Oeri,$3.9 B,67.0,Switzerland,pharmaceuticals,Healthcare
719.0,Paolo & Gianfelice Mario Rocca,$3.9 B,,Italy,pipe manufacturing,Metals & Mining
720.0,Neil Shen,$3.9 B,54.0,China,venture capital,Finance & Investments
721.0,Helmut Sohmen,$3.9 B,82.0,Austria,shipping,Logistics
722.0,Donald Sterling,$3.9 B,87.0,United States,real estate,Real Estate
723.0,Don Vultaggio & family,$3.9 B,70.0,United States,beverages,Food & Beverage
724.0,Wu Yiling,$3.9 B,72.0,China,pharmaceuticals,Healthcare
725.0,Gongshan Zhu,$3.9 B,64.0,China,solar panel materials,Manufacturing
726.0,Hubert Burda,$3.9 B,82.0,Germany,publishing,Media & Entertainment
727.0,Francesco Gaetano Caltagirone,$3.9 B,79.0,Italy,"cement, diversified",Construction & Engineering
728.0,Kuldip Singh Dhingra,$3.8 B,74.0,India,paints,Manufacturing
729.0,Leena Tewari,$3.8 B,64.0,India,pharmaceuticals,Healthcare
730.0,Luca Garavoglia,$3.8 B,53.0,Italy,spirits,Food & Beverage
731.0,Yitzhak Tshuva,$3.8 B,73.0,Israel,real estate,Real Estate
732.0,Vinod & Anil Rai Gupta,$3.8 B,,India,electrical equipment,Manufacturing
733.0,Paul-Heinz Wesjohann & family,$3.8 B,78.0,Germany,chicken processing,Food & Beverage
734.0,Jimmy Haslam,$3.8 B,68.0,United States,"gas stations, retail",Fashion & Retail
735.0,Zeng Fangqin,$3.8 B,56.0,China,smartphone components,Technology
736.0,Susan Carol Holland,$3.8 B,65.0,Italy,hearing aids,Manufacturing
737.0,Zhou Bajin,$3.8 B,86.0,China,auto parts,Manufacturing
738.0,Timur Kulibaev,$3.8 B,55.0,Kazakhstan,banking,Finance & Investments
739.0,Dinara Kulibaeva,$3.8 B,54.0,Kazakhstan,banking,Finance & Investments
740.0,Michel Leclercq & family,$3.8 B,82.0,France,sporting goods,Fashion & Retail
741.0,Pablo Legorreta,$3.8 B,58.0,United States,investments,Finance & Investments
742.0,Margarita Louis-Dreyfus & family,$3.8 B,59.0,Switzerland,commodities,Food & Beverage
743.0,Michael Milken,$3.8 B,75.0,United States,investments,Finance & Investments
744.0,Denis O'Brien,$3.8 B,63.0,Ireland,telecom,Telecom
745.0,"William Conway, Jr.",$3.8 B,72.0,United States,private equity,Finance & Investments
746.0,James Packer,$3.8 B,54.0,Australia,casinos,Gambling & Casinos
747.0,Gurbachan Singh Dhingra,$3.8 B,71.0,India,paints,Manufacturing
748.0,Sergio Stevanato & family,$3.8 B,79.0,Italy,medical packaging,Healthcare
749.0,John Catsimatidis,$3.7 B,73.0,United States,"oil, real estate",Energy
750.0,Ira Rennert,$3.7 B,87.0,United States,investments,Finance & Investments
751.0,Che Jianxing,$3.7 B,55.0,China,furniture retailing,Fashion & Retail
752.0,"Bernard Saul, II.",$3.7 B,89.0,United States,"banking, real estate",Finance & Investments
753.0,Gustavo Denegri,$3.7 B,85.0,Italy,biotech,Healthcare
754.0,Shi Yonghong & family,$3.7 B,53.0,China,restaurants,Food & Beverage
755.0,Charles Edelstenne,$3.7 B,84.0,France,aviation,Manufacturing
756.0,Song Chi-hyung,$3.7 B,43.0,South Korea,cryptocurrency,Finance & Investments
757.0,Reed Hastings,$3.7 B,61.0,United States,Netflix,Media & Entertainment
758.0,Steven Spielberg,$3.7 B,75.0,United States,movies,Media & Entertainment
759.0,"Amos Hostetter, Jr.",$3.7 B,85.0,United States,cable television,Media & Entertainment
760.0,Wong Luen Hei,$3.7 B,60.0,China,building materials,Manufacturing
761.0,Brad Jacobs,$3.7 B,65.0,United States,logistics,Logistics
762.0,Friedrich Knapp,$3.7 B,70.0,Germany,fashion retail,Fashion & Retail
763.0,William Lauder,$3.7 B,61.0,United States,Estee Lauder,Fashion & Retail
764.0,Richard LeFrak & family,$3.7 B,76.0,United States,real estate,Real Estate
765.0,Li Guoqiang,$3.7 B,58.0,China,auto dealerships,Automotive
766.0,Low Tuck Kwong,$3.7 B,73.0,Indonesia,coal,Energy
767.0,Anthony Pritzker,$3.7 B,61.0,United States,"hotels, investments",Service
768.0,William Berkley,$3.7 B,75.0,United States,insurance,Finance & Investments
769.0,Hu Kaijun,$3.6 B,60.0,China,pharmaceuticals,Healthcare
770.0,Julia Thiele-Schuerhoff,$3.6 B,50.0,Germany,"brakes, investments",Manufacturing
771.0,Peter Kellogg,$3.6 B,79.0,United States,investments,Finance & Investments
772.0,Tung Chee Chen,$3.6 B,79.0,Hong Kong,shipping,Logistics
773.0,James Leprino,$3.6 B,84.0,United States,cheese,Food & Beverage
774.0,Roger Wang,$3.6 B,73.0,United States,retail,Fashion & Retail
775.0,Iskander Makhmudov,$3.6 B,58.0,Russia,"mining, metals, machinery",Metals & Mining
776.0,Wu Shaoxun,$3.6 B,66.0,China,wine,Food & Beverage
777.0,Daniel Mate,$3.6 B,58.0,Spain,"mining, commodities",Metals & Mining
778.0,Wenzhong Zhang,$3.6 B,60.0,China,supermarkets,Fashion & Retail
779.0,Aristotelis Mistakidis,$3.6 B,60.0,Greece,"mining, commodities",Metals & Mining
780.0,Danielle Bellon & family,$3.6 B,82.0,France,food services,Service
781.0,Arturo Moreno,$3.6 B,75.0,United States,"billboards, Los Angeles Angels",Sports
782.0,Byju Raveendran and Divya Gokulnath,$3.6 B,40.0,India,education technology,Technology
783.0,Nan Cunhui,$3.6 B,58.0,China,power equipment,Manufacturing
784.0,Cho Tak Wong,$3.6 B,75.0,Hong Kong,auto parts,Manufacturing
785.0,Julio Ponce Lerou,$3.6 B,76.0,Chile,fertilizer,Metals & Mining
786.0,Charles Cohen,$3.6 B,70.0,United States,real estate,Real Estate
787.0,J.B. Pritzker,$3.6 B,57.0,United States,"hotels, investments",Finance & Investments
788.0,Kenneth Dart,$3.6 B,66.0,Belize,investments,Finance & Investments
789.0,Chandru Raheja,$3.6 B,81.0,India,real estate,Real Estate
790.0,Martin Ebner,$3.6 B,76.0,Switzerland,investments,Finance & Investments
791.0,Rodger Riney & family,$3.6 B,76.0,United States,discount brokerage,Finance & Investments
792.0,Miguel Fluxa Rossello,$3.6 B,83.0,Spain,hotels,Service
793.0,Zuowen Song,$3.6 B,75.0,China,"aluminum, diversified",Diversified
794.0,John Henry,$3.6 B,72.0,United States,sports,Sports
795.0,Jerry Speyer,$3.6 B,81.0,United States,real estate,Real Estate
796.0,Kuok Khoon Hong,$3.5 B,72.0,Singapore,palm oil,Manufacturing
797.0,Herb Simon,$3.5 B,87.0,United States,real estate,Real Estate
798.0,Aerin Lauder,$3.5 B,51.0,United States,cosmetics,Fashion & Retail
799.0,Friede Springer,$3.5 B,79.0,Germany,publishing,Media & Entertainment
800.0,Lee Seo-hyun,$3.5 B,48.0,South Korea,Samsung,Diversified
801.0,Wang Zhenhua,$3.5 B,60.0,China,real estate,Real Estate
802.0,Li Yongxin & family,$3.5 B,46.0,China,education,Service
803.0,Hans Peter Wild,$3.5 B,80.0,Switzerland,flavorings,Food & Beverage
804.0,Jeffrey Lurie,$3.5 B,70.0,United States,Philadelphia Eagles,Sports
805.0,"William Wrigley, Jr.",$3.5 B,58.0,United States,chewing gum,Food & Beverage
806.0,Chen Kaixuan,$3.5 B,63.0,China,household chemicals,Manufacturing
807.0,Mary Alice Dorrance Malone,$3.5 B,72.0,United States,Campbell Soup,Food & Beverage
808.0,Xia Zuoquan,$3.5 B,60.0,China,"automobiles, batteries",Automotive
809.0,Beatriz Davila de Santo Domingo,$3.5 B,83.0,Colombia,beer,Food & Beverage
810.0,Ronald McAulay,$3.5 B,86.0,Hong Kong,energy,Energy
811.0,Xue Hua,$3.5 B,52.0,China,agribusiness,Manufacturing
812.0,Antonio Del Valle Ruiz & family,$3.5 B,83.0,Mexico,chemicals,Manufacturing
813.0,Apoorva Mehta,$3.5 B,35.0,Canada,grocery delivery service,Technology
814.0,Carl Douglas,$3.5 B,60.0,Sweden,investments,Diversified
815.0,Arnon Milchan,$3.5 B,77.0,Israel,movie making,Media & Entertainment
816.0,Eric Douglas,$3.5 B,53.0,Sweden,investments,Diversified
817.0,Masahiro Noda,$3.5 B,83.0,Japan,software,Technology
818.0,Jiangtao Du & family,$3.5 B,52.0,China,chemicals,Manufacturing
819.0,Maren Otto,$3.5 B,,Germany,"retail, real estate",Diversified
820.0,Juan Carlos Escotet,$3.5 B,62.0,Venezuela,banking,Finance & Investments
821.0,Renzo Rosso & family,$3.5 B,66.0,Italy,fashion,Fashion & Retail
822.0,Yuhua Gu & family,$3.5 B,72.0,China,furniture,Manufacturing
823.0,Gil Shwed,$3.5 B,53.0,Israel,software,Technology
824.0,James Irsay,$3.5 B,62.0,United States,Indianapolis Colts,Sports
825.0,Thomas Siebel,$3.5 B,69.0,United States,business software,Technology
826.0,Fu Liquan & family,$3.4 B,54.0,China,surveillance equipment,Technology
827.0,T. Denny Sanford,$3.4 B,86.0,United States,"banking, credit cards",Finance & Investments
828.0,David Gottesman,$3.4 B,95.0,United States,investments,Finance & Investments
829.0,Naguib Sawiris,$3.4 B,67.0,Egypt,telecom,Telecom
830.0,Laurence Graff & family,$3.4 B,83.0,United Kingdom,diamond jewelry,Fashion & Retail
831.0,Pavel Tykac,$3.4 B,57.0,Czechia,coal mines,Metals & Mining
832.0,Jeff T. Green,$3.4 B,45.0,United States,digital advertising,Media & Entertainment
833.0,Todd Wanek,$3.4 B,58.0,United States,furniture,Manufacturing
834.0,Jim Kavanaugh,$3.4 B,59.0,United States,IT provider,Technology
835.0,Meg Whitman,$3.4 B,65.0,United States,eBay,Technology
836.0,Steven Klinsky,$3.4 B,65.0,United States,investments,Finance & Investments
837.0,Michael Xie,$3.4 B,53.0,United States,cybersecurity,Technology
838.0,John Middleton,$3.4 B,67.0,United States,tobacco,Food & Beverage
839.0,Chenghai Ye & family,$3.4 B,78.0,Hong Kong,pharmaceuticals,Healthcare
840.0,Mohed Altrad,$3.4 B,74.0,France,"scaffolding, cement mixers",Construction & Engineering
841.0,Jerry Ng,$3.4 B,56.0,Indonesia,banking,Finance & Investments
842.0,Sid Bass,$3.4 B,79.0,United States,"oil, investments",Energy
843.0,Tengyun Nie & family,$3.4 B,46.0,China,logistics,Service
844.0,Nick Caporella,$3.4 B,86.0,United States,beverages,Food & Beverage
845.0,Nandan Nilekani,$3.4 B,66.0,India,software services,Technology
846.0,Cheng Yixiao,$3.4 B,38.0,China,video streaming app,Media & Entertainment
847.0,Bob Parsons,$3.4 B,71.0,United States,web hosting,Technology
848.0,Wesley Edens,$3.4 B,60.0,United States,investments,Finance & Investments
849.0,Prasert Prasarttong-Osoth,$3.4 B,89.0,Thailand,hospitals,Healthcare
850.0,Archie Aldis Emmerson & family,$3.4 B,92.0,United States,"timberland, lumber mills",Manufacturing
851.0,Richard Sands,$3.4 B,71.0,United States,liquor,Food & Beverage
852.0,Jose E. Feliciano,$3.4 B,48.0,United States,private equity,Finance & Investments
853.0,Robert Sands,$3.4 B,63.0,United States,liquor,Food & Beverage
854.0,Ralph Dommermuth,$3.3 B,58.0,Germany,internet service provider,Technology
855.0,Alfred Oetker,$3.3 B,55.0,Germany,consumer goods,Fashion & Retail
856.0,Walter Faria,$3.3 B,67.0,Brazil,beer,Food & Beverage
857.0,Carl Ferdinand Oetker,$3.3 B,49.0,Germany,consumer goods,Fashion & Retail
858.0,Bob Gaglardi,$3.3 B,81.0,Canada,hotels,Real Estate
859.0,Julia Oetker,$3.3 B,43.0,Germany,consumer goods,Fashion & Retail
860.0,John Gandel,$3.3 B,87.0,Australia,shopping malls,Real Estate
861.0,Or Wai Sheun,$3.3 B,70.0,Hong Kong,real estate,Real Estate
862.0,Xuande Hua & family,$3.3 B,78.0,China,pharmaceuticals,Healthcare
863.0,Jay Paul,$3.3 B,74.0,United States,real estate,Real Estate
864.0,Micky Jagtiani,$3.3 B,70.0,India,retail,Fashion & Retail
865.0,Horst Paulmann & family,$3.3 B,87.0,Chile,retail,Fashion & Retail
866.0,H. Fisk Johnson,$3.3 B,63.0,United States,cleaning products,Manufacturing
867.0,Theodore Rachmat,$3.3 B,78.0,Indonesia,diversified,Diversified
868.0,An Kang,$3.3 B,73.0,China,pharmaceuticals,Healthcare
869.0,S. Curtis Johnson,$3.3 B,66.0,United States,cleaning products,Manufacturing
870.0,John Sall,$3.3 B,74.0,United States,software,Technology
871.0,John Arnold,$3.3 B,48.0,United States,hedge funds,Finance & Investments
872.0,Helen Johnson-Leipold,$3.3 B,65.0,United States,cleaning products,Manufacturing
873.0,Stefan von Holtzbrinck,$3.3 B,58.0,Germany,publishing,Media & Entertainment
874.0,Arun Bharat Ram,$3.3 B,81.0,India,chemicals,Manufacturing
875.0,Miguel Krigsner,$3.3 B,72.0,Brazil,cosmetics,Fashion & Retail
876.0,Nusli Wadia,$3.3 B,78.0,India,consumer goods,Food & Beverage
877.0,Tomasz Biernacki,$3.3 B,49.0,Poland,supermarkets,Fashion & Retail
878.0,Li Jianquan & family,$3.3 B,65.0,Hong Kong,consumer products,Healthcare
879.0,Steve Wynn,$3.3 B,80.0,United States,"casinos, hotels",Gambling & Casinos
880.0,Travis Boersma,$3.3 B,51.0,United States,coffee,Food & Beverage
881.0,Lin Ming-hsiung,$3.3 B,72.0,Taiwan,supermarkets,Fashion & Retail
882.0,Yang Weidong & family,$3.3 B,53.0,China,chemicals,Manufacturing
883.0,Dongsheng Chen,$3.3 B,64.0,China,insurance,Finance & Investments
884.0,Kiran Mazumdar-Shaw,$3.3 B,69.0,India,biopharmaceuticals,Healthcare
885.0,Zhang Shilong & family,$3.3 B,56.0,China,semiconductor,Technology
886.0,Jean Coutu & family,$3.3 B,94.0,Canada,drugstores,Fashion & Retail
887.0,Patrice Motsepe,$3.3 B,60.0,South Africa,mining,Metals & Mining
888.0,Zhong Ruonong & family,$3.3 B,59.0,China,electronics,Manufacturing
889.0,Cameron Adams,$3.2 B,42.0,Australia,software,Technology
890.0,Alan Howard,$3.2 B,58.0,United Kingdom,hedge funds,Finance & Investments
891.0,Rita Tong Liu,$3.2 B,73.0,Hong Kong,real estate,Real Estate
892.0,Dongchen Cai,$3.2 B,69.0,China,pharmaceuticals,Healthcare
893.0,Kei Hoi Pang,$3.2 B,56.0,China,real estate,Real Estate
894.0,Tran Dinh Long,$3.2 B,61.0,Vietnam,steel,Manufacturing
895.0,Vanich Chaiyawan,$3.2 B,90.0,Thailand,"insurance, beverages",Finance & Investments
896.0,Rudy Ma,$3.2 B,81.0,Taiwan,finance,Finance & Investments
897.0,Zhang Daocai,$3.2 B,72.0,China,valves,Diversified
898.0,Andrew & Peggy Cherng,$3.2 B,,United States,restaurants,Food & Beverage
899.0,Najib Mikati,$3.2 B,66.0,Lebanon,telecom,Telecom
900.0,James Clark,$3.2 B,78.0,United States,"Netscape, investments",Technology
901.0,Taha Mikati,$3.2 B,77.0,Lebanon,telecom,Telecom
902.0,Jack Cowin,$3.2 B,79.0,Australia,fast food,Food & Beverage
903.0,Gail Miller,$3.2 B,78.0,United States,car dealerships,Automotive
904.0,Giuseppe Crippa & family,$3.2 B,86.0,Italy,microchip testing,Manufacturing
905.0,Vikas Oberoi,$3.2 B,51.0,India,real estate,Real Estate
906.0,Sergei Galitsky,$3.2 B,54.0,Russia,retail,Fashion & Retail
907.0,"H. Ross Perot, Jr.",$3.2 B,63.0,United States,real estate,Real Estate
908.0,"Ernest Garcia, III",$3.2 B,39.0,United States,used cars,Automotive
909.0,Candido Pinheiro Koren de Lima,$3.2 B,75.0,Brazil,"hospitals, health insurance",Healthcare
910.0,Peter Gilgan,$3.2 B,71.0,Canada,homebuilding,Construction & Engineering
911.0,Matthew Prince,$3.2 B,47.0,United States,cybersecurity,Technology
912.0,Joseph Grendys,$3.2 B,60.0,United States,poultry processing,Food & Beverage
913.0,Penny Pritzker,$3.2 B,62.0,United States,"hotels, investments",Finance & Investments
914.0,Thomas Hagen,$3.2 B,86.0,United States,insurance,Finance & Investments
915.0,Yasumitsu Shigeta,$3.2 B,57.0,Japan,mobile phone retailer,Telecom
916.0,Michael Hintze,$3.2 B,68.0,Australia,investment,Finance & Investments
917.0,Barry Silbert,$3.2 B,45.0,United States,cryptocurrency,Finance & Investments
918.0,Pansy Ho,$3.2 B,59.0,Hong Kong,casinos,Gambling & Casinos
919.0,Daniel Sundheim,$3.2 B,45.0,United States,hedge funds,Finance & Investments
920.0,Harsh Mariwala,$3.1 B,70.0,India,consumer goods,Food & Beverage
921.0,Sergei Popov,$3.1 B,50.0,Russia,banking,Finance & Investments
922.0,Samir Mehta,$3.1 B,58.0,India,"pharmaceuticals, power",Healthcare
923.0,Haim Saban,$3.1 B,77.0,United States,"TV network, investments",Media & Entertainment
924.0,Sudhir Mehta,$3.1 B,67.0,India,"pharmaceuticals, power",Healthcare
925.0,Karthik Sarma,$3.1 B,47.0,India,hedge fund,Finance & Investments
926.0,John Caudwell,$3.1 B,69.0,United Kingdom,mobile phones,Telecom
927.0,Pawan Munjal & family,$3.1 B,68.0,India,motorcycles,Automotive
928.0,Klaus-Peter Schulenberg,$3.1 B,70.0,Germany,ticketing service,Service
929.0,Philippe Foriel-Destezet,$3.1 B,86.0,France,employment agency,Service
930.0,Nguyen Thi Phuong Thao,$3.1 B,51.0,Vietnam,airlines,Diversified
931.0,Pat Stryker,$3.1 B,65.0,United States,medical equipment,Healthcare
932.0,Walter Frey,$3.1 B,78.0,Switzerland,car dealerships,Automotive
933.0,Jeff Sutton,$3.1 B,62.0,United States,real estate,Real Estate
934.0,Alessandra Garavoglia,$3.1 B,62.0,Italy,spirits,Food & Beverage
935.0,Jon Yarbrough,$3.1 B,64.0,United States,video games,Gambling & Casinos
936.0,Peter Gassner,$3.1 B,57.0,United States,software,Technology
937.0,Gang Ye,$3.1 B,41.0,Singapore,gaming,Media & Entertainment
938.0,Mitchell Goldhar,$3.1 B,60.0,Canada,real estate,Real Estate
939.0,Yi Zheng,$3.1 B,51.0,China,software,Technology
940.0,Otto Happel,$3.1 B,74.0,Germany,engineering,Construction & Engineering
941.0,Zhang Fan,$3.1 B,56.0,China,touch screens,Technology
942.0,Peter Hargreaves,$3.1 B,75.0,United Kingdom,financial services,Finance & Investments
943.0,Bom Kim,$3.1 B,43.0,United States,online retailing,Technology
944.0,Liufa Li & family,$3.1 B,64.0,China,"steel, diversified",Diversified
945.0,Lu Weiding,$3.1 B,51.0,China,diversified,Diversified
946.0,Madhukar Parekh,$3.1 B,75.0,India,adhesives,Manufacturing
947.0,Chang Kuo-Hua,$3 B,67.0,Taiwan,"shipping, airlines",Logistics
948.0,Karsanbhai Patel,$3 B,78.0,India,consumer goods,Diversified
949.0,Xie Juhua & family,$3 B,71.0,China,pharmaceuticals,Healthcare
950.0,Todd Christopher,$3 B,59.0,United States,hair care products,Fashion & Retail
951.0,Arvind Poddar,$3 B,64.0,India,tires,Automotive
952.0,Oren Zeev,$3 B,57.0,Israel,investments,Finance & Investments
953.0,Euisun Chung,$3 B,51.0,South Korea,Hyundai,Logistics
954.0,Remo Ruffini,$3 B,60.0,Italy,winter jackets,Fashion & Retail
955.0,Charles Zegar,$3 B,74.0,United States,Bloomberg LP,Media & Entertainment
956.0,Bernard Ecclestone & family,$3 B,91.0,United Kingdom,Formula One,Sports
957.0,Eddy Kusnadi Sariaatmadja,$3 B,68.0,Indonesia,"media, tech",Media & Entertainment
958.0,Zhang Lei,$3 B,49.0,China,investments,Finance & Investments
959.0,Michael Federmann & family,$3 B,78.0,Israel,"defense, hotels",Technology
960.0,Sybill Storz,$3 B,84.0,Germany,medical devices,Healthcare
961.0,Zhang Xin & Pan Shiyi,$3 B,56.0,China,real estate,Real Estate
962.0,Gudrun Heine,$3 B,67.0,Germany,medical devices,Healthcare
963.0,Lawrence Stroll,$3 B,62.0,Canada,fashion investments,Fashion & Retail
964.0,Zhu Yan & family,$3 B,,China,real estate,Real Estate
965.0,Heidi Horten,$3 B,81.0,Austria,retail,Fashion & Retail
966.0,Wijono & Hermanto Tanoko,$3 B,,Indonesia,paints,Manufacturing
967.0,Mortimer Zuckerman,$3 B,84.0,United States,"real estate, media",Real Estate
968.0,Dawen Huang,$3 B,61.0,Hong Kong,silicon,Manufacturing
969.0,Michael Tojner,$3 B,56.0,Austria,"batteries, investments",Manufacturing
